Source,Target,consensus,consistency,weight,distance
AAB,ARG,1.0,1.0,1,1.0
AAB,BAR,1.0,1.0,2,0.5
AAB,BHM,1.0,1.0,1,1.0
AAB,BLZ,1.0,1.0,1,1.0
AAB,BOL,1.0,1.0,1,1.0
AAB,BRA,1.0,1.0,1,1.0
AAB,CAN,1.0,1.0,1,1.0
AAB,CHL,1.0,1.0,1,1.0
AAB,COL,1.0,1.0,1,1.0
AAB,COS,1.0,1.0,1,1.0
AAB,DMA,1.0,1.0,3,0.3333333333333333
AAB,DOM,1.0,1.0,1,1.0
AAB,ECU,1.0,1.0,1,1.0
AAB,GRN,1.0,1.0,2,0.5
AAB,GUA,1.0,1.0,1,1.0
AAB,GUY,1.0,1.0,1,1.0
AAB,HAI,1.0,1.0,1,1.0
AAB,HON,1.0,1.0,1,1.0
AAB,JAM,1.0,1.0,1,1.0
AAB,MEX,1.0,1.0,1,1.0
AAB,NIC,1.0,1.0,1,1.0
AAB,PAN,1.0,1.0,1,1.0
AAB,PAR,1.0,1.0,1,1.0
AAB,PER,1.0,1.0,1,1.0
AAB,SAL,1.0,1.0,1,1.0
AAB,SKN,1.0,1.0,3,0.3333333333333333
AAB,SLU,1.0,1.0,3,0.3333333333333333
AAB,SUR,1.0,1.0,1,1.0
AAB,SVG,1.0,1.0,3,0.3333333333333333
AAB,TRI,1.0,1.0,1,1.0
AAB,URU,1.0,1.0,1,1.0
AAB,USA,0.91,0.8200000000000001,1,1.0
AAB,VEN,1.0,1.0,1,1.0
AFG,CHN,1.0,1.0,1,1.0
AFG,IRN,1.0,1.0,1,1.0
AFG,PAK,1.0,1.0,1,1.0
AFG,TAJ,1.0,1.0,1,1.0
AFG,TKM,1.0,1.0,1,1.0
AFG,UZB,1.0,1.0,1,1.0
ALB,BUL,1.0,1.0,1,1.0
ALB,TUR,0.84,0.6799999999999999,1,1.0
ALG,BAH,1.0,1.0,2,0.5
ALG,DJI,1.0,1.0,1,1.0
ALG,EGY,1.0,1.0,2,0.5
ALG,IRQ,1.0,1.0,2,0.5
ALG,JOR,1.0,1.0,2,0.5
ALG,KUW,1.0,1.0,2,0.5
ALG,LEB,1.0,1.0,2,0.5
ALG,LIB,1.0,1.0,3,0.3333333333333333
ALG,MAA,1.0,1.0,2,0.5
ALG,MOR,1.0,1.0,3,0.3333333333333333
ALG,OMA,1.0,1.0,1,1.0
ALG,QAT,1.0,1.0,2,0.5
ALG,SAU,1.0,1.0,2,0.5
ALG,SOM,1.0,1.0,2,0.5
ALG,SUD,1.0,1.0,2,0.5
ALG,SYR,1.0,1.0,2,0.5
ALG,TUN,1.0,1.0,3,0.3333333333333333
ALG,UAE,1.0,1.0,2,0.5
ALG,YEM,1.0,1.0,2,0.5
ANG,BUI,1.0,1.0,2,0.5
ANG,CAO,1.0,1.0,1,1.0
ANG,CEN,1.0,1.0,2,0.5
