Source,Target,Weight
AAB,ARG,1
AAB,BAR,2
AAB,BHM,1
AAB,BLZ,1
AAB,BOL,1
AAB,BRA,1
AAB,CAN,1
AAB,CHL,1
AAB,COL,1
AAB,COS,1
AAB,DMA,3
AAB,DOM,1
AAB,ECU,1
AAB,GRN,2
AAB,GUA,1
AAB,GUY,1
AAB,HAI,1
AAB,HON,1
AAB,JAM,1
AAB,MEX,1
AAB,NIC,1
AAB,PAN,1
AAB,PAR,1
AAB,PER,1
AAB,SAL,1
AAB,SKN,3
AAB,SLU,3
AAB,SUR,1
AAB,SVG,3
AAB,TRI,1
AAB,URU,1
AAB,USA,1
AAB,VEN,1
AFG,CHN,1
AFG,IRN,1
AFG,PAK,1
AFG,TAJ,1
AFG,TKM,1
AFG,UZB,1
ALB,BUL,1
ALB,TUR,1
ALG,BAH,2
ALG,DJI,1
ALG,EGY,2
ALG,IRQ,2
ALG,JOR,2
ALG,KUW,2
ALG,LEB,2
ALG,LIB,3
ALG,MAA,2
ALG,MOR,3
ALG,OMA,1
ALG,QAT,2
ALG,SAU,2
ALG,SOM,2
ALG,SUD,2
ALG,SYR,2
ALG,TUN,3
ALG,UAE,2
ALG,YEM,2
ANG,BUI,2
ANG,CAO,1
ANG,CEN,2
ANG,CHA,1
ANG,CON,2
ANG,DRC,2
ANG,EQG,1
ANG,GAB,1
ANG,KEN,1
ANG,RWA,2
ANG,STP,1
ANG,SUD,1
ANG,TAZ,1
ANG,UGA,1
ANG,ZAM,1
ARG,BAR,1
ARG,BHM,1
ARG,BLZ,1
ARG,BOL,1
ARG,BRA,1
ARG,CAN,1
ARG,CHL,3
ARG,COL,1
ARG,COS,1
ARG,DMA,1
ARG,DOM,1
ARG,ECU,1
ARG,GRN,1
ARG,GUA,1
ARG,GUY,1
ARG,HAI,1
ARG,HON,1
ARG,JAM,1
ARG,MEX,1
ARG,NIC,1
ARG,PAN,1
ARG,PAR,1
ARG,PER,1
ARG,SAL,1
ARG,SKN,1
ARG,SLU,1
ARG,SUR,1
ARG,SVG,1
ARG,TRI,1
ARG,URU,1
ARG,USA,1
ARG,VEN,1
ARM,AZE,2
ARM,BLR,2
ARM,GRG,2
ARM,KYR,2
ARM,KZK,2
ARM,MLD,1
ARM,RUS,3
ARM,TAJ,2
ARM,TKM,1
ARM,UKR,2
ARM,UZB,2
AUL,USA,1
AZE,BLR,2
AZE,GRG,2
AZE,IRN,1
AZE,KYR,2
AZE,KZK,2
AZE,MLD,1
AZE,RUS,2
AZE,TAJ,2
AZE,TKM,1
AZE,TUR,1
AZE,UKR,1
AZE,UZB,2
BAH,DJI,1
BAH,EGY,2
BAH,IRQ,2
BAH,JOR,2
BAH,KUW,3
BAH,LEB,2
BAH,LIB,2
BAH,MAA,1
BAH,MOR,2
BAH,OMA,2
BAH,QAT,3
BAH,SAU,3
BAH,SOM,2
BAH,SUD,2
BAH,SYR,2
BAH,TUN,2
BAH,UAE,3
BAH,YEM,2
BAR,BHM,1
BAR,BLZ,1
BAR,BOL,1
BAR,BRA,1
BAR,CAN,1
BAR,CHL,1
BAR,COL,1
BAR,COS,1
BAR,DMA,2
BAR,DOM,1
BAR,ECU,1
BAR,GRN,2
BAR,GUA,1
BAR,GUY,1
BAR,HAI,1
BAR,HON,1
BAR,JAM,1
BAR,MEX,1
BAR,NIC,1
BAR,PAN,1
BAR,PAR,1
BAR,PER,1
BAR,SAL,1
BAR,SKN,2
BAR,SLU,2
BAR,SUR,1
BAR,SVG,2
BAR,TRI,1
BAR,URU,1
BAR,USA,1
BAR,VEN,1
BEL,CAN,1
BEL,CZR,1
BEL,DEN,1
BEL,FRN,2
BEL,GMY,1
BEL,GRC,2
BEL,HUN,1
BEL,ICE,1
BEL,ITA,2
BEL,LUX,2
BEL,NOR,1
BEL,NTH,2
BEL,POL,1
BEL,POR,2
BEL,SPN,2
BEL,TUR,1
BEL,UKG,2
BEL,USA,1
BEN,BFO,1
BEN,CAP,1
BEN,CDI,1
BEN,GAM,1
BEN,GHA,1
BEN,GNB,1
BEN,GUI,1
BEN,LBR,1
BEN,MLI,1
BEN,NIG,1
BEN,NIR,1
BEN,SEN,1
BEN,SIE,1
