,degree,weighted_degree,eigenvector_centrality,betweenness,consistency_mean,consistency_min,consistency_max,consistency_std,consistency_mean_min_std,consistency_neighbors_0.8,consistency_neighbors_0.9,consistency_neighbors_1.0,ccode,name,latitude,longitude,consensus
SIE,14,14.0,0.0015313253722226917,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,451,Sierra Leone,8.6400349,-11.8400269,0
BRA,33,33.0,0.9360952593819655,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,140,Brazil,-10.333333300000001,-53.2,1
FRN,21,29.0,0.11882175946626487,1939.2898671218484,0.9914285714285714,0.8200000000000001,1.0,0.03833259389999638,0.953095977528575,1.0,0.9523809523809523,0.9523809523809523,220,France,46.603353999999996,1.8883334999999999,2
LBR,15,16.0,0.030829092515517385,1722.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,450,Liberia,5.7499721,-9.3658524,0
BAR,33,39.0,0.936095259381965,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,53,Barbados,13.1500331,-59.52503050000001,1
BAH,19,40.0,6.023383004204029e-06,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,692,Bahrain,26.155124899999997,50.5344606,3
CRO,3,3.0,0.0036081683278235866,270.0,0.9400000000000001,0.8200000000000001,1.0,0.08485281374238567,0.8551471862576144,1.0,0.6666666666666666,0.6666666666666666,344,Croatia,45.5643442,17.0118954,2
TRI,33,33.0,0.9360952593819653,0.0,0.9945454545454545,0.8200000000000001,1.0,0.030855568633594795,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,52,Trinidad and Tobago,10.8677845,-60.9821067,1
CEN,15,21.0,0.00015690886182159674,150.62618494419897,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,482,Central African Republic,7.0323598,19.9981227,4
AZE,13,21.0,0.0068313552631467265,265.2850273001464,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,373,Azerbaijan,40.3936294,47.787250799999995,5
LAT,3,3.0,0.004074979251490217,2.5591397849462347,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,367,Latvia,56.8406494,24.7537645,5
BOL,33,35.0,0.9360952593819653,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,145,Bolivia,-17.056869600000002,-64.9912286,1
UKR,16,18.0,0.010604927186141977,73.95301534439906,0.98875,0.8200000000000001,1.0,0.04357106264483343,0.9451789373551666,1.0,0.9375,0.9375,369,Ukraine,49.4871968,31.2718321,5
NIC,33,33.0,0.9360952593819651,0.0,0.9945454545454545,0.8200000000000001,1.0,0.03085556863359479,0.9636898859118597,1.0,0.9696969696969697,0.9696969696969697,93,Nicaragua,12.609015699999999,-85.29369109999999,1
EQG,10,10.0,0.00015185530791764494,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,411,Equatorial Guinea,1.6131719999999998,10.5170357,4
GRG,13,21.0,0.010277137652733446,86.88355266913145,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,372,Georgia,41.6809707,44.02873820000001,5
