id,ccode,name,latitude,longitude
USA,2,United States of America,39.7837304,-100.4458825
CAN,20,Canada,61.0666922,-107.9917071
BHM,31,Bahamas,24.7736546,-78.0000547
HAI,41,Haiti,19.1399952,-72.3570972
DOM,42,Dominican Republic,19.0974031,-70.3028026
JAM,51,Jamaica,18.1850507,-77.3947693
TRI,52,Trinidad and Tobago,10.8677845,-60.9821067
BAR,53,Barbados,13.1500331,-59.5250305
DMA,54,Dominica,15.4113138,-61.3653618
GRN,55,Grenada,12.1360374,-61.6904045
SLU,56,St. Lucia,13.8250489,-60.975036
SVG,57,St. Vincent and the Grenadines,12.90447,-61.2765569
AAB,58,Antigua & Barbuda,17.086,-61.7862945
SKN,60,St. Kitts and Nevis,17.3462278,-62.7687277
MEX,70,Mexico,19.4326009,-99.1333416
BLZ,80,Belize,16.8259793,-88.7600927
GUA,90,Guatemala,15.6356088,-89.8988087
HON,91,Honduras,15.2572432,-86.0755145
SAL,92,El Salvador,13.8000382,-88.9140683
NIC,93,Nicaragua,12.6090157,-85.2936911
COS,94,Costa Rica,10.2735633,-84.0739102
PAN,95,Panama,8.559559,-81.1308434
COL,100,Colombia,2.8894434,-73.783892
VEN,101,Venezuela,8.0018709,-66.1109318
GUY,110,Guyana,4.8417097,-58.6416891
SUR,115,Suriname,4.1413025,-56.0771187
ECU,130,Ecuador,-1.3397668,-79.3666965
PER,135,Peru,-6.8699697,-75.0458515
BRA,140,Brazil,-10.3333333,-53.2
BOL,145,Bolivia,-17.0568696,-64.9912286
PAR,150,Paraguay,-23.3165935,-58.1693445
CHL,155,Chile,-31.7613365,-71.3187697
ARG,160,Argentina,-34.9964963,-64.9672817
URU,165,Uruguay,-32.8755548,-56.0201525
UKG,200,United Kingdom,55.367,-3.9614184
NTH,210,Netherlands,52.2472693,5.5412235
BEL,211,Belgium,50.6402809,4.6667145
LUX,212,Luxembourg,49.8158683,6.1296751
FRN,220,France,46.603354,1.8883335
SPN,230,Spain,39.3262345,-4.8380649
POR,235,Portugal,40.0332629,-7.8896263
GMY,255,Germany,51.0834196,10.4234469
POL,290,Poland,52.215933,19.134422
HUN,310,Hungary,47.1817585,19.5060937
CZR,316,Czech Republic,49.8167003,15.4749544
SLO,317,Slovakia,48.7411522,19.4528646
ITA,325,Italy,42.6384261,12.674297
ALB,339,Albania,41.000028,19.9999619
CRO,344,Croatia,45.5643442,17.0118954
YUG,345,Yugoslavia,8.1939477,-64.5043374
BOS,346,Bosnia and Herzegovina,44.3053476,17.5961467
GRC,350,Greece,38.9953683,21.9877132
BUL,355,Bulgaria,42.6073975,25.4856617
MLD,359,Moldova,47.286747,28.5110236
ROM,360,Romania,45.9852129,24.6859225
RUS,365,Russia,64.6863136,97.7453061
EST,366,Estonia,58.719713,24.5075441
LAT,367,Latvia,56.8406494,24.7537645
LIT,368,Lithuania,55.3500003,23.7499997
