SIE,BRA,FRN,LBR,BAR,BAH,CRO,TRI,CEN,AZE,LAT,BOL,UKR,NIC,EQG,GRG,FIN,MAA,SOM,YEM,GNB,BLZ,ITA,ANG,UAE,CHL,KEN,CHA,BUL,SPN,ISR,EST,TAZ,HON,NIG,TUR,DJI,GRN,TKM,MLD,ARM,KZK,JAM,ERI,PHI,CON,GUY,BEN,COS,OMA,UGA,TOG,AUL,CHN,HAI,CAN,KUW,SAU,BLR,IND,QAT,NOR,YUG,ECU,DRC,RWA,CDI,BEL,CAO,PER,SUD,BHM,GMY,LIB,SKN,UZB,POL,ALB,GAM,GUA,BUI,DMA,GUI,PRK,AFG,DOM,ROM,PAN,ICE,SLU,JPN,MLI,SAL,BFO,GRC,KYR,LUX,MOR,NTH,GHA,PAR,GAB,ROK,AAB,SVG,CAP,URU,SYR,ZAM,CZR,STP,SUR,VEN,IRN,ETH,PAK,COL,USA,DEN,IRQ,ALG,TAJ,HUN,UKG,MON,LIT,SEN,BOS,TUN,SLO,JOR,EGY,ARG,LEB,MEX,NIR,RUS,POR
5,0,1,5,0,3,1,0,4,2,2,0,2,0,4,2,2,3,3,3,5,0,1,4,3,0,4,4,1,1,3,1,4,0,5,1,3,0,2,2,2,2,0,4,0,4,0,5,0,3,4,5,0,2,0,0,3,3,2,2,3,1,1,0,4,4,5,1,4,0,3,0,1,3,0,2,1,1,5,0,4,0,5,2,2,0,1,0,1,0,0,5,0,5,1,2,1,3,1,5,0,4,2,0,0,5,0,3,4,1,4,0,0,2,4,2,0,0,1,3,3,2,1,1,2,2,5,1,3,1,3,3,0,3,0,5,2,1
5,0,2,5,0,3,2,0,4,1,1,0,1,0,4,1,1,3,3,3,5,0,2,4,3,0,4,4,2,2,3,2,4,0,5,2,3,0,1,1,1,1,0,4,0,4,0,5,0,3,4,5,0,1,0,0,3,3,1,1,3,2,2,0,4,4,5,2,4,0,3,0,2,3,0,1,2,2,5,0,4,0,5,1,1,0,2,0,2,0,0,5,0,5,2,1,2,3,2,5,0,4,1,0,0,5,0,3,4,2,4,0,0,1,4,1,0,0,2,3,3,1,2,2,1,1,5,2,3,1,3,3,0,3,0,5,1,2
5,0,2,5,0,3,2,0,4,1,1,0,1,0,4,1,1,3,3,3,5,0,2,4,3,0,4,4,2,2,3,2,4,0,5,2,3,0,1,1,1,1,0,4,0,4,0,5,0,3,4,5,0,1,0,0,3,3,1,1,3,2,2,0,4,4,5,2,4,0,3,0,2,3,0,1,2,2,5,0,4,0,5,1,1,0,2,0,2,0,0,5,0,5,2,1,2,3,2,5,0,4,1,0,0,5,0,3,4,2,4,0,0,1,4,1,0,0,2,3,3,1,2,2,1,1,5,2,3,1,3,3,0,3,0,5,1,2
5,0,2,5,0,3,2,0,4,1,1,0,1,0,4,1,1,3,3,3,5,0,2,4,3,0,4,4,1,2,3,2,4,0,5,2,3,0,1,1,1,1,0,4,0,4,0,5,0,3,4,5,0,1,0,0,3,3,1,1,3,2,2,0,4,4,5,2,4,0,3,0,2,3,0,1,2,1,5,0,4,0,5,1,1,0,1,0,2,0,0,5,0,5,2,1,2,3,2,5,0,4,1,0,0,5,0,3,4,2,4,0,0,1,4,1,0,0,2,3,3,1,2,2,1,1,5,2,3,1,3,3,0,3,0,5,1,2
5,0,1,5,0,3,1,0,4,2,2,0,2,0,4,2,2,3,3,3,5,0,1,4,3,0,4,4,1,1,3,1,4,0,5,1,3,0,2,2,2,2,0,4,0,4,0,5,0,3,4,5,0,2,0,0,3,3,2,2,3,1,1,0,4,4,5,1,4,0,3,0,1,3,0,2,1,1,5,0,4,0,5,2,2,0,1,0,1,0,0,5,0,5,1,2,1,3,1,5,0,4,2,0,0,5,0,3,4,1,4,0,0,2,4,2,0,0,1,3,3,2,1,1,2,2,5,1,3,2,3,3,0,3,0,5,2,1
5,0,2,5,0,3,2,0,4,1,1,0,1,0,4,1,1,3,3,3,5,0,2,4,3,0,4,4,1,2,3,2,4,0,5,2,3,0,1,1,1,1,0,4,0,4,0,5,0,3,4,5,0,1,0,0,3,3,1,1,3,2,2,0,4,4,5,2,4,0,3,0,2,3,0,1,2,1,5,0,4,0,5,1,1,0,1,0,2,0,0,5,0,5,2,1,2,3,2,5,0,4,1,0,0,5,0,3,4,2,4,0,0,1,4,1,0,0,2,3,3,1,2,2,1,1,5,2,3,1,3,3,0,3,0,5,1,2
5,0,2,5,0,3,2,0,4,1,1,0,1,0,4,1,1,3,3,3,5,0,2,4,3,0,4,4,1,2,3,2,4,0,5,2,3,0,1,1,1,1,0,4,0,4,0,5,0,3,4,5,0,1,0,0,3,3,1,1,3,2,2,0,4,4,5,2,4,0,3,0,2,3,0,1,2,1,5,0,4,0,5,1,1,0,1,0,2,0,0,5,0,5,2,1,2,3,2,5,0,4,1,0,0,5,0,3,4,2,4,0,0,1,4,1,0,0,2,3,3,1,2,2,1,1,5,2,3,1,3,3,0,3,0,5,1,2
5,0,2,5,0,3,2,0,4,1,1,0,1,0,4,1,1,3,3,3,5,0,2,4,3,0,4,4,2,2,3,2,4,0,5,2,3,0,1,1,1,1,0,4,0,4,0,5,0,3,4,5,0,1,0,0,3,3,1,1,3,2,2,0,4,4,5,2,4,0,3,0,2,3,0,1,2,2,5,0,4,0,5,1,1,0,2,0,2,0,0,5,0,5,2,1,2,3,2,5,0,4,1,0,0,5,0,3,4,2,4,0,0,1,4,1,0,0,2,3,3,1,2,2,1,1,5,2,3,1,3,3,0,3,0,5,1,2
5,0,1,5,0,3,1,0,4,2,2,0,2,0,4,2,2,3,3,3,5,0,1,4,3,0,4,4,1,1,3,1,4,0,5,1,3,0,2,2,2,2,0,4,0,4,0,5,0,3,4,5,0,2,0,0,3,3,2,2,3,1,1,0,4,4,5,1,4,0,3,0,1,3,0,2,1,1,5,0,4,0,5,2,2,0,1,0,1,0,0,5,0,5,1,2,1,3,1,5,0,4,2,0,0,5,0,3,4,1,4,0,0,2,4,2,0,0,1,3,3,2,1,1,2,2,5,1,3,2,3,3,0,3,0,5,2,1
5,0,2,5,0,3,2,0,4,1,1,0,1,0,4,1,1,3,3,3,5,0,2,4,3,0,4,4,1,2,3,2,4,0,5,2,3,0,1,1,1,1,0,4,0,4,0,5,0,3,4,5,0,1,0,0,3,3,1,1,3,2,2,0,4,4,5,2,4,0,3,0,2,3,0,1,2,1,5,0,4,0,5,1,1,0,1,0,2,0,0,5,0,5,2,1,2,3,2,5,0,4,1,0,0,5,0,3,4,2,4,0,0,1,4,1,0,0,2,3,3,1,2,2,1,1,5,2,3,1,3,3,0,3,0,5,1,2
